"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.S1","Answer.S2","Answer.S3","Answer.S4","Answer.S43","Answer.comment","Approve","Reject"
"3GITHABACYTDXW5X0RDH9LQI12H2NM","3915EV51D4FRK0O30PJCADF2SC33XQ","verify simple picture descriptions","You will be shown a simple picture involving geometrical shapes and connections between them. Next to the picture are 4 sentences. You are asked to judge for each sentence whether it is true of the picture or not.","perception, categorization, language, psychology","$0.10","Thu Dec 11 16:14:38 GMT 2014","50","BatchId:1763422;","900","18000","Fri Dec 12 08:58:01 GMT 2014","","","30LB5CDZNDI35VEWEUPZ940WX2P0Z0","A2MU41AGDFODDC","Approved","Thu Dec 11 23:08:13 GMT 2014","Thu Dec 11 23:08:32 GMT 2014","Fri Dec 12 04:08:32 GMT 2014","2014/12/12 04:08:36 +0000","","","19","100% (1/1)","100% (1/1)","100% (1/1)","false","ct","true","true","",""
"3GITHABACYTDXW5X0RDH9LQI12H2NM","3915EV51D4FRK0O30PJCADF2SC33XQ","verify simple picture descriptions","You will be shown a simple picture involving geometrical shapes and connections between them. Next to the picture are 4 sentences. You are asked to judge for each sentence whether it is true of the picture or not.","perception, categorization, language, psychology","$0.10","Thu Dec 11 16:14:38 GMT 2014","50","BatchId:1763422;","900","18000","Fri Dec 12 08:58:01 GMT 2014","","","30ZX6P7VF93K1QC6BVQR4Y5LB102J3","A11179KDXC2RL0","Approved","Thu Dec 11 16:17:55 GMT 2014","Thu Dec 11 16:19:34 GMT 2014","Thu Dec 11 21:19:34 GMT 2014","2014/12/11 21:23:36 +0000","","","99","100% (1/1)","100% (1/1)","100% (1/1)","false","ct","true","true","",""
"3GITHABACYTDXW5X0RDH9LQI12H2NM","3915EV51D4FRK0O30PJCADF2SC33XQ","verify simple picture descriptions","You will be shown a simple picture involving geometrical shapes and connections between them. Next to the picture are 4 sentences. You are asked to judge for each sentence whether it is true of the picture or not.","perception, categorization, language, psychology","$0.10","Thu Dec 11 16:14:38 GMT 2014","50","BatchId:1763422;","900","18000","Fri Dec 12 08:58:01 GMT 2014","","","31JLPPHS2V2NNJZMV8W1V4RZG9AO3J","ABZCA1DW2YSM0","Approved","Thu Dec 11 16:19:48 GMT 2014","Thu Dec 11 16:25:07 GMT 2014","Thu Dec 11 21:25:07 GMT 2014","2014/12/11 21:28:36 +0000","","","319","100% (2/2)","100% (1/1)","100% (1/1)","false","ct","true","true","",""
"3GITHABACYTDXW5X0RDH9LQI12H2NM","3915EV51D4FRK0O30PJCADF2SC33XQ","verify simple picture descriptions","You will be shown a simple picture involving geometrical shapes and connections between them. Next to the picture are 4 sentences. You are asked to judge for each sentence whether it is true of the picture or not.","perception, categorization, language, psychology","$0.10","Thu Dec 11 16:14:38 GMT 2014","50","BatchId:1763422;","900","18000","Fri Dec 12 08:58:01 GMT 2014","","","34J10VATJG65YYULVOVSOFOOET2IQ0","A2FC6X0BU6HOKK","Approved","Fri Dec 12 06:17:56 GMT 2014","Fri Dec 12 06:18:53 GMT 2014","Fri Dec 12 03:18:53 PST 2014","Fri Dec 12 00:59:18 PST 2014","","","57","100% (1/1)","100% (1/1)","100% (1/1)","true","false","false","true","",""
"3GITHABACYTDXW5X0RDH9LQI12H2NM","3915EV51D4FRK0O30PJCADF2SC33XQ","verify simple picture descriptions","You will be shown a simple picture involving geometrical shapes and connections between them. Next to the picture are 4 sentences. You are asked to judge for each sentence whether it is true of the picture or not.","perception, categorization, language, psychology","$0.10","Thu Dec 11 16:14:38 GMT 2014","50","BatchId:1763422;","900","18000","Fri Dec 12 08:58:01 GMT 2014","","","369J354OFEIYSP56QRHRXYUHZFIG6T","A1VZ9YIKLX5MO0","Approved","Thu Dec 11 23:41:16 GMT 2014","Thu Dec 11 23:41:41 GMT 2014","Fri Dec 12 04:41:41 GMT 2014","2014/12/12 04:43:36 +0000","","","25","100% (1/1)","100% (1/1)","100% (1/1)","false","ct","true","true","",""
"3GITHABACYTDXW5X0RDH9LQI12H2NM","3915EV51D4FRK0O30PJCADF2SC33XQ","verify simple picture descriptions","You will be shown a simple picture involving geometrical shapes and connections between them. Next to the picture are 4 sentences. You are asked to judge for each sentence whether it is true of the picture or not.","perception, categorization, language, psychology","$0.10","Thu Dec 11 16:14:38 GMT 2014","50","BatchId:1763422;","900","18000","Fri Dec 12 08:58:01 GMT 2014","","","37WLF8U1WQY3UB1PGI26VQMA6V16KM","A324P7DGE4NP7V","Approved","Thu Dec 11 16:15:04 GMT 2014","Thu Dec 11 16:15:53 GMT 2014","Thu Dec 11 21:15:53 GMT 2014","2014/12/11 21:18:36 +0000","","","49","100% (1/1)","100% (1/1)","100% (1/1)","false","ct","true","true","",""
"3GITHABACYTDXW5X0RDH9LQI12H2NM","3915EV51D4FRK0O30PJCADF2SC33XQ","verify simple picture descriptions","You will be shown a simple picture involving geometrical shapes and connections between them. Next to the picture are 4 sentences. You are asked to judge for each sentence whether it is true of the picture or not.","perception, categorization, language, psychology","$0.10","Thu Dec 11 16:14:38 GMT 2014","50","BatchId:1763422;","900","18000","Fri Dec 12 08:58:01 GMT 2014","","","38BQUHLA9X8O957W1Q1GR305G16OMG","A20NDRGSZZRQF","Approved","Fri Dec 12 08:00:42 GMT 2014","Fri Dec 12 08:01:44 GMT 2014","Fri Dec 12 05:01:44 PST 2014","Fri Dec 12 00:59:17 PST 2014","","","62","100% (1/1)","100% (1/1)","100% (1/1)","false","true","false","false","","ty"
"3GITHABACYTDXW5X0RDH9LQI12H2NM","3915EV51D4FRK0O30PJCADF2SC33XQ","verify simple picture descriptions","You will be shown a simple picture involving geometrical shapes and connections between them. Next to the picture are 4 sentences. You are asked to judge for each sentence whether it is true of the picture or not.","perception, categorization, language, psychology","$0.10","Thu Dec 11 16:14:38 GMT 2014","50","BatchId:1763422;","900","18000","Fri Dec 12 08:58:01 GMT 2014","","","39K0FND3AINZ71DVR7WYQ8G0RKMAMN","A3F7TX7LITQ4UP","Approved","Fri Dec 12 00:34:48 GMT 2014","Fri Dec 12 00:38:03 GMT 2014","Fri Dec 12 05:38:03 GMT 2014","2014/12/12 05:38:36 +0000","","","195","100% (1/1)","100% (1/1)","100% (1/1)","false","false","true","true","","Interesting HIT.  This was challenging and fun to complete.  Thanks for posting!"
"3GITHABACYTDXW5X0RDH9LQI12H2NM","3915EV51D4FRK0O30PJCADF2SC33XQ","verify simple picture descriptions","You will be shown a simple picture involving geometrical shapes and connections between them. Next to the picture are 4 sentences. You are asked to judge for each sentence whether it is true of the picture or not.","perception, categorization, language, psychology","$0.10","Thu Dec 11 16:14:38 GMT 2014","50","BatchId:1763422;","900","18000","Fri Dec 12 08:58:01 GMT 2014","","","3EO896NRAX3ELP6JUAAN5LEBBEETJN","A2F0NZQ8F9ON8C","Approved","Thu Dec 11 16:44:07 GMT 2014","Thu Dec 11 16:44:49 GMT 2014","Thu Dec 11 21:44:49 GMT 2014","2014/12/11 21:48:36 +0000","","","42","100% (1/1)","100% (1/1)","100% (1/1)","false","ct","true","true","",""
"3GITHABACYTDXW5X0RDH9LQI12H2NM","3915EV51D4FRK0O30PJCADF2SC33XQ","verify simple picture descriptions","You will be shown a simple picture involving geometrical shapes and connections between them. Next to the picture are 4 sentences. You are asked to judge for each sentence whether it is true of the picture or not.","perception, categorization, language, psychology","$0.10","Thu Dec 11 16:14:38 GMT 2014","50","BatchId:1763422;","900","18000","Fri Dec 12 08:58:01 GMT 2014","","","3F6HPJW4JE867AC5IU96TOZTDYP2WG","A3EHI7J2E5DSJK","Approved","Fri Dec 12 08:34:30 GMT 2014","Fri Dec 12 08:35:49 GMT 2014","Fri Dec 12 05:35:49 PST 2014","Fri Dec 12 00:59:18 PST 2014","","","79","100% (1/1)","100% (1/1)","100% (1/1)","false","true","ct","true","ct",""
